Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-05-06,0.5793,0.583,0.539,0.5624,7735159,0,0
2018-05-07,0.5628,0.5649,0.4924,0.5228,8939008,0,0
2018-05-08,0.5256,0.5425,0.4942,0.5071,7912805,0,0
2018-05-09,0.507,0.5076,0.4715,0.4873,7205839,0,0
2018-05-10,0.4864,0.503,0.4665,0.4893,10927008,0,0
2018-05-11,0.487,0.487,0.4046,0.4454,9715204,0,0
2018-05-12,0.4444,0.4695,0.4226,0.4652,6739107,0,0
2018-05-13,0.4683,0.5013,0.4546,0.4977,6256158,0,0
2018-05-14,0.4984,0.5296,0.4692,0.518,7732523,0,0
2018-05-15,0.5168,0.5212,0.4717,0.4794,6003578,0,0
2018-05-16,0.4804,0.5242,0.4431,0.5013,13901123,0,0
2018-05-17,0.5016,0.5374,0.4566,0.4592,11482211,0,0
2018-05-18,0.4592,0.474,0.4451,0.4658,4693245,0,0
2018-05-19,0.4663,0.4676,0.4455,0.4483,3567746,0,0
2018-05-20,0.4487,0.4586,0.4433,0.4523,2581748,0,0
2018-05-21,0.4528,0.4597,0.4406,0.4401,3127270,0,0
2018-05-22,0.44,0.4414,0.3949,0.3959,3553100,0,0
2018-05-23,0.3957,0.4037,0.3492,0.382,7439243,0,0
2018-05-24,0.3827,0.4173,0.3621,0.4014,7116720,0,0
2018-05-25,0.402,0.4031,0.3716,0.3774,2627311,0,0
2018-05-26,0.3772,0.3821,0.3671,0.3677,2218062,0,0
2018-05-27,0.3675,0.3684,0.3599,0.364,1870101,0,0
2018-05-28,0.364,0.3656,0.3251,0.3251,2942721,0,0
2018-05-29,0.3252,0.3689,0.3197,0.3669,3963026,0,0
2018-05-30,0.3665,0.3756,0.3394,0.3436,2955901,0,0
2018-05-31,0.3436,0.3651,0.341,0.3595,3067210,0,0
2018-06-01,0.3598,0.3627,0.3487,0.3605,2388122,0,0
2018-06-02,0.36,0.3858,0.3542,0.3793,4164253,0,0
2018-06-03,0.3775,0.3941,0.3754,0.3832,3098499,0,0
2018-06-04,0.3814,0.3844,0.3604,0.3642,2447822,0,0
2018-06-05,0.3642,0.3672,0.345,0.361,3267997,0,0
2018-06-06,0.3609,0.3609,0.343,0.35,2156637,0,0
2018-06-07,0.3501,0.3605,0.3497,0.3596,2727360,0,0
2018-06-08,0.3603,0.3614,0.3469,0.3518,2122920,0,0
2018-06-09,0.3519,0.358,0.3433,0.3433,2039696,0,0
2018-06-10,0.3434,0.3434,0.2876,0.2959,3249335,0,0
2018-06-11,0.2959,0.305,0.2891,0.3034,2494724,0,0
2018-06-12,0.304,0.3041,0.2652,0.271,3126814,0,0
2018-06-13,0.2716,0.2715,0.2431,0.253,2084657,0,0
2018-06-14,0.253,0.2929,0.2465,0.2879,3463808,0,0
2018-06-15,0.2877,0.3212,0.28,0.3114,5459027,0,0
2018-06-16,0.3094,0.3406,0.3087,0.3191,9589443,0,0
2018-06-17,0.3202,0.3378,0.3036,0.304,4565195,0,0
2018-06-18,0.3034,0.3433,0.3015,0.3398,5440686,0,0
2018-06-19,0.3402,0.3436,0.3287,0.3396,4614328,0,0
2018-06-20,0.3393,0.3616,0.3213,0.3505,4492938,0,0
2018-06-21,0.3509,0.4132,0.351,0.4113,10270961,0,0
2018-06-22,0.4068,0.4088,0.3215,0.3304,9793614,0,0
2018-06-23,0.3313,0.3709,0.3275,0.3661,6308297,0,0
2018-06-24,0.3668,0.3668,0.3126,0.3416,4713202,0,0
2018-06-25,0.3404,0.3477,0.3268,0.3294,4061648,0,0
2018-06-26,0.332,0.3343,0.3002,0.3004,3029865,0,0
2018-06-27,0.2992,0.3037,0.289,0.2982,2283924,0,0
2018-06-28,0.2982,0.3001,0.2716,0.2725,2521436,0,0
2018-06-29,0.2708,0.2894,0.2616,0.2869,2869519,0,0
2018-06-30,0.2866,0.3202,0.2865,0.3192,3534634,0,0
2018-07-01,0.3187,0.3407,0.3105,0.3385,3111145,0,0
2018-07-02,0.3393,0.3639,0.3284,0.3583,4825545,0,0
2018-07-03,0.3578,0.3642,0.3224,0.328,4828502,0,0
2018-07-04,0.3285,0.3418,0.3224,0.3286,3521900,0,0
2018-07-05,0.3293,0.3361,0.3106,0.3171,3185176,0,0
2018-07-06,0.3168,0.3567,0.3108,0.3431,5851021,0,0
2018-07-07,0.3466,0.3534,0.3331,0.3519,4171573,0,0
2018-07-08,0.3528,0.3649,0.3454,0.3594,3072716,0,0
2018-07-09,0.3588,0.3688,0.3463,0.3473,3621873,0,0
2018-07-10,0.3437,0.3442,0.3131,0.3192,3616192,0,0
2018-07-11,0.3196,0.3613,0.3194,0.3548,5924647,0,0
2018-07-12,0.3547,0.3561,0.3315,0.3533,6277374,0,0
2018-07-13,0.3543,0.4488,0.3492,0.4421,22083924,0,0
2018-07-14,0.4401,0.4531,0.4051,0.4186,20534937,0,0
2018-07-15,0.4178,0.4504,0.4056,0.4173,11096007,0,0
2018-07-16,0.42,0.4744,0.4174,0.4693,12344148,0,0
2018-07-17,0.4674,0.5025,0.4595,0.4735,20950913,0,0
2018-07-18,0.4762,0.5116,0.4687,0.4695,17899920,0,0
2018-07-19,0.4691,0.4909,0.448,0.4499,10360014,0,0
2018-07-20,0.45,0.4504,0.3975,0.4138,9208940,0,0
2018-07-21,0.4157,0.444,0.4003,0.4311,8039008,0,0
2018-07-22,0.4303,0.4588,0.425,0.4307,8030843,0,0
2018-07-23,0.4302,0.554,0.4263,0.4579,119103678,0,0
2018-07-24,0.4595,0.5385,0.4478,0.4572,54741347,0,0
2018-07-25,0.4553,0.4673,0.4164,0.431,22054298,0,0
2018-07-26,0.432,0.442,0.3896,0.3985,8545698,0,0
