Date,Open,High,Low,Close,Adj Close,Volume
2019-09-27,0.202943,0.223922,0.199623,0.223363,0.223363,33474389
2019-09-28,0.223375,0.223709,0.212595,0.218892,0.218892,27145317
2019-09-29,0.218896,0.219005,0.209359,0.210866,0.210866,29728726
2019-09-30,0.210833,0.229009,0.203189,0.228760,0.228760,35448916
2019-10-01,0.228705,0.229763,0.216209,0.218402,0.218402,30943586
2019-10-02,0.218011,0.226272,0.218544,0.225781,0.225781,22918113
2019-10-03,0.225736,0.245836,0.222950,0.242673,0.242673,34040949
2019-10-04,0.242405,0.266452,0.236074,0.249124,0.249124,58067109
2019-10-05,0.248753,0.263354,0.240891,0.262330,0.262330,38842960
2019-10-06,0.262241,0.273770,0.248399,0.251016,0.251016,44623649
2019-10-07,0.250383,0.262339,0.247391,0.259290,0.259290,40698571
2019-10-08,0.259240,0.285924,0.258959,0.281762,0.281762,47753368
2019-10-09,0.281862,0.287753,0.262102,0.276836,0.276836,56686122
2019-10-10,0.276716,0.275882,0.257259,0.259857,0.259857,42399414
2019-10-11,0.259827,0.261742,0.247953,0.251329,0.251329,36495108
2019-10-12,0.251190,0.260849,0.251154,0.260614,0.260614,33348057
2019-10-13,0.260640,0.271973,0.256883,0.268412,0.268412,38783953
2019-10-14,0.268412,0.285716,0.266967,0.284738,0.284738,45169127
2019-10-15,0.284654,0.313876,0.282055,0.293904,0.293904,71757267
2019-10-16,0.293950,0.293989,0.265387,0.290293,0.290293,58193322
2019-10-17,0.290412,0.304106,0.282744,0.291855,0.291855,46997275
2019-10-18,0.291855,0.302158,0.285956,0.287779,0.287779,40430217
2019-10-19,0.287886,0.289892,0.278395,0.278767,0.278767,51618225
2019-10-20,0.278664,0.297966,0.273002,0.297824,0.297824,61533909
2019-10-21,0.297703,0.298244,0.284003,0.285367,0.285367,55717470
2019-10-22,0.285403,0.324971,0.280528,0.317569,0.317569,96336973
2019-10-23,0.317434,0.336771,0.297110,0.316146,0.316146,130626971
2019-10-24,0.316152,0.333927,0.307317,0.311388,0.311388,101587731
2019-10-25,0.311514,0.335329,0.302318,0.331322,0.331322,97670269
2019-10-26,0.331359,0.345316,0.307606,0.308714,0.308714,97846317
2019-10-27,0.308858,0.319908,0.302712,0.313659,0.313659,89877550
2019-10-28,0.313334,0.319700,0.306395,0.311884,0.311884,83339244
2019-10-29,0.311836,0.316163,0.303982,0.308464,0.308464,71739452
2019-10-30,0.308517,0.312381,0.292377,0.309512,0.309512,69517418
2019-10-31,0.309446,0.326835,0.303135,0.308186,0.308186,73971677
2019-11-01,0.308109,0.313289,0.299392,0.309963,0.309963,69026052
2019-11-02,0.309934,0.313165,0.306928,0.308796,0.308796,56200175
2019-11-03,0.308662,0.309708,0.303295,0.305461,0.305461,56341177
2019-11-04,0.305385,0.322709,0.305438,0.321284,0.321284,78452615
2019-11-05,0.321147,0.336253,0.315950,0.331138,0.331138,77096482
2019-11-06,0.331433,0.348519,0.329822,0.346875,0.346875,83080276
